"item_id","point_name","equipment","parent_equipment_name","equipment_type"
39474,Last Poll Failure Code,LILLIAN to KM Sales/Check Meter Remote Device,,RTU
39475,Last Poll Status,LILLIAN to KM Sales/Check Meter Remote Device,,RTU
39476,Comm Status,LILLIAN to KM Sales/Check Meter Remote Device,,RTU
39477,Time Since Complete,LILLIAN to KM Sales/Check Meter Remote Device,,RTU
39478,IP Address,LILLIAN to KM Sales/Check Meter Remote Device,,RTU
39479,Flow Rate,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39480,Differential Pressure,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39481,Static Pressure,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39482,Temperature,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39483,Today Volume,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39484,Yesterday Volume,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39485,Accumulated Volume,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39486,Battery Voltage,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39487,Last Meter History Collected,BAYTEX to IRONWOOD Sales Meter,Ironwood Facility Fuel Facility,Gas Meter
39488,Demand,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39489,Last Poll Success Time,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39490,Last Poll Length,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39491,Last Poll Failure Code,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39492,Last Poll Status,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39493,Comm Status,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39494,Time Since Complete,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39495,IP Address,BAYTEX to IRONWOOD Sales Meter Remote Device,,RTU
39496,Flow Rate,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39497,Differential Pressure,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39498,Static Pressure,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39499,Temperature,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39500,Today Volume,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39501,Yesterday Volume,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39502,Accumulated Volume,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39503,Battery Voltage,RIGBY Flash Gas Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39513,Flow Rate,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39516,Temperature,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39517,Today Volume,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39518,Yesterday Volume,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39519,Accumulated Volume,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39520,Battery Voltage,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39521,Last Meter History Collected,RIGBY/PSYCHE Fuel Gas Fox Thermal Mass Meter,RIGBY 2H 3H 4H PSYCHE A1H B2H Tank Battery,Gas Meter
39522,Hourly,KELLY DEEP WATER #2 SWD #1,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39523,Today,KELLY DEEP WATER #2 SWD #1,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39524,Yesterday,KELLY DEEP WATER #2 SWD #1,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39525,Accumulated,KELLY DEEP WATER #2 SWD #1,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39526,Flow Rate,KELLY DEEP WATER #2 SWD #1,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39527,Hourly,KELLY DEEP WATER #2 SWD #2,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39528,Today,KELLY DEEP WATER #2 SWD #2,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39529,Yesterday,KELLY DEEP WATER #2 SWD #2,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39530,Accumulated,KELLY DEEP WATER #2 SWD #2,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39531,Flow Rate,KELLY DEEP WATER #2 SWD #2,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39532,Hourly,KELLY DEEP WATER #2 INLET,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39533,Today,KELLY DEEP WATER #2 INLET,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39534,Yesterday,KELLY DEEP WATER #2 INLET,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39535,Accumulated,KELLY DEEP WATER #2 INLET,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39536,Flow Rate,KELLY DEEP WATER #2 INLET,KELLY DEEP WATER #2 SWD Tank Battery,Discharge
39537,Tubing Pressure,KELLY DEEP WATER #2 SWD Well,KELLY DEEP WATER #2 SWD Well Pad,Gas Lift
39538,Casing Pressure,KELLY DEEP WATER #2 SWD Well,KELLY DEEP WATER #2 SWD Well Pad,Gas Lift
39539,Demand,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39540,Last Poll Success Time,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39541,Last Poll Length,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39542,Last Poll Failure Code,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39543,Last Poll Status,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39544,Comm Status,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39545,Time Since Complete,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39546,IP Address,KELLY DEEP WATER #2 SWD Remote Device,,RTU
39547,Tank Interface Level,KELLY DEEP WATER #2 SWD Water Tank 1,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39548,Tank Top Level,KELLY DEEP WATER #2 SWD Water Tank 1,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39549,Tank Interface Level,KELLY DEEP WATER #2 SWD Water Tank 2,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39550,Tank Top Level,KELLY DEEP WATER #2 SWD Water Tank 2,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39551,Tank Interface Level,KELLY DEEP WATER #2 SWD Water Tank 3,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39552,Tank Top Level,KELLY DEEP WATER #2 SWD Water Tank 3,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39553,Tank Interface Level,KELLY DEEP WATER #2 SWD Gun Barrel Tank 1,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39554,Tank Top Level,KELLY DEEP WATER #2 SWD Gun Barrel Tank 1,KELLY DEEP WATER #2 SWD Tank Battery,Storage
39555,Current Days Accum Volume,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39556,Previous Days Accum Volume,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39557,Heating Value,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39558,Orifice Plate Size,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39559,Differential Pressure,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39560,Static Pressure,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39561,Gas Flow Rate,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39562,Temperature,Lavaca PSYCHE CT Gas Lift Meter,,Gas Meter
39563,Flow Rate,LOMBARDO 2H Oil Meter,LOMBARDO 2H,Oil Meter
39564,Flow Today,LOMBARDO 2H Oil Meter,LOMBARDO 2H,Oil Meter
39565,Flow Yesterday,LOMBARDO 2H Oil Meter,LOMBARDO 2H,Oil Meter
39566,Flow Rate,LOMBARDO 2H Water Meter,LOMBARDO 2H,Water Meter
39567,Flow Today,LOMBARDO 2H Water Meter,LOMBARDO 2H,Water Meter
39568,Flow Yesterday,LOMBARDO 2H Water Meter,LOMBARDO 2H,Water Meter
39569,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 1,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39570,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 1,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39571,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 2,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39572,Tank Interface Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 2,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
39573,Tank Top Level,NEVELS/ADDAX/NAB/PANDORA Water Tank 3,NEVELS ADDAX NAB HUNTER Addax Cinnabar Tank Battery,Storage
