ID,Timestamp,Value,point_name,equipment,parent_equipment_name,equipment_type,Name,Accounting Number
10025,2022-02-21 15:42:18.705+00,8.829,Casing Pressure,DRAGONSTONE A 1H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift,DRAGONSTONE A 1H,204683.01
10081,2022-02-21 15:42:18.705+00,54306.898,Casing Pressure,SHARKTOOTH (SA) UNIT 1 1H,SHARKTOOTH Well Pad,Gas Lift,SHARKTOOTH (SA) UNIT 1 1H,204511.01
10004,2022-02-21 15:42:18.705+00,160.5,Tubing Pressure,BLOODSTONE C 3H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift,BLOODSTONE C 3H,204686.01
10035,2022-02-21 15:42:18.705+00,0.0,Casing Pressure,HALITE B2H,HALITE Well Pad,Gas Lift,HALITE B2H,204728.01
10075,2022-02-21 15:42:18.705+00,4.882,Casing Pressure,SERPENTINE A 1H,SERPENTINE Well Pad,Gas Lift,SERPENTINE A 1H,204690.01
10005,2022-02-21 15:42:18.705+00,8.0,Casing Pressure,BLOODSTONE C 3H,BLOODSTONE C 3H D 4H Well Pad,Gas Lift,BLOODSTONE C 3H,204686.01
10027,2022-02-21 15:42:18.705+00,234.485,Casing Pressure,DRAGONSTONE B 2H,HAWG 3H 4H 5H/DRAGONSTONE A1 B2 Well Pad,Gas Lift,DRAGONSTONE B 2H,204684.01
10073,2022-02-21 15:42:18.705+00,425.014,Casing Pressure,SAPPHIRE B 2H,SAPPHIRE Well Pad,Gas Lift,SAPPHIRE B 2H,204689.01
10028,2022-02-21 15:42:18.704+00,421.798,Tubing Pressure,EMERALD A1H,EMERALD Well Pad,Gas Lift,EMERALD A1H,204656.01
10087,2022-02-21 15:42:18.704+00,25.003,Casing Pressure,TOPAZ B 2H,TOPAZ Well Pad,Gas Lift,TOPAZ B 2H,204715.01
10020,2022-02-21 15:42:18.704+00,36.424,Tubing Pressure,DIAMOND A1H,DIAMOND Well Pad,Gas Lift,DIAMOND A1H,204636.01
10013,2022-02-21 15:42:18.704+00,194.0,Casing Pressure,CARBONITE C3H,CARBONITE Well Pad,Gas Lift,CARBONITE C3H,204720.01
10072,2022-02-21 15:42:18.704+00,12.51,Casing Pressure,SAPPHIRE A1H,SAPPHIRE Well Pad,Gas Lift,SAPPHIRE A1H,204688.01
